STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-02,0,7,0,"1,7",,,,,,,,,6,"1,7",26,"1,7",6,"1,7",0,"1,7",0,"1,7",-12,"1,7,16,+",,,,,,,53,"1,7,25,",5124,7,1107,"1,7",4.5,"1,a,,7",,,25.4,"1,7",35.7,"1,,,7",15.2,"1,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-03,0,7,0,"1,7",,,,,,,,,0,",7",23,",7",2,"1,7",0,"1,7",0,"1,7",8,",7,02,+",,,,,,,65,"1,7,10,",6023,7,899,"1,7",3.53,"1,a,,7",,,34.9,"1,7",43.9,"1,,,7",25.8,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-05,,,47,",7",,,,,,,,,0,",7",7,",7",0,",7",13,",7",2,",7",26,",7,13,",,,,,,,90,",7,27,+",,,384,",7",3.15,",a,,7",,,54.1,",7",66,",,,7",42.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-06,,,109,",7",5,",7",3,",7",,,,,0,",7",0,",7",0,",7",23,",7",1,",7",36,",7,01,",,,,,0.77,",,7,01,",90,",7,23,",,,86,",7",1.92,",,,7",,,65.7,",7",77.3,",,,7",54.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-07,,,231,",7",11,",7",9,",7",,,,,0,",7",0,",7",0,",7",31,",7",3,",7",55,",7,31,+",,,,,1.54,",,7,13,",92,",7,10,",0,7,0,",7",5.8,",,,7",,,72.4,",7",83.6,",,,7",61.3,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-08,,,143,",7",,,,,,,,,0,",7",0,",7",0,",7",28,",7",1,",7",47,",7,31,",,,,,,,90,",7,12,",22,7,22,",7",3.59,",a,,7",,,68.9,",7",79.8,",,,7",58,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-09,,,42,",7",5,",7",3,",7",,,,,0,",7",2,",7",0,",7",19,",7",0,",7",31,",7,20,+",,,,,1.12,",,7,30,",86,",7,10,",210,7,188,",7",2.14,",,,7",,,60.2,",7",71.2,",,,7",49.1,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-10,,,1,"1,7",,,,,,,,,0,"1,7",2,"1,7",0,"1,7",3,"1,7",0,"1,7",30,"1,7,26,",,,,,,,78,"1,7,16,+",670,7,460,"1,7",4.41,"1,a,,7",,,49.7,"1,7",58.7,"1,,,7",40.7,"1,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-11,,,0,"3,7",,,,,,,,,0,"3,7",19,"3,7",2,"3,7",1,"3,7",0,"3,7",14,"3,7,19,",,,,,,,75,"3,7,11,",1366,7,695,"3,7",4.17,"1,a,,7",,,39.2,"3,7",48.6,"3,,,7",29.8,"3,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2020-12,,,0,",7",,,,,,,,,0,",7",29,",7",12,",7",0,",7",0,",7",8,",7,18,",,,,,,,56,",7,26,",2457,7,1091,",7",3.89,",a,,7",,,29.8,",7",36.2,",,,7",23.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-01,0,7,0,",7",,,,,,,,,5,",7",31,",7",21,",7",0,",7",0,",7",-5,",7,25,",,,,,,,39,",7,02,",3771,7,1314,",7",2.4,"2,a,,7",,,22.6,",7",29,",,,7",16.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-02,0,7,0,",7",10,",7",7,",7",,,5,",7",3,",7",28,",7",20,",7",0,",7",0,",7",-6,",7,01,",,,10,",,7,23,",0.85,",,7,23,",47,",7,25,",4998,7,1227,",7",2.23,",,,7",22,",,,7",21.2,",7",29.5,",,,7",12.9,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-03,0,7,0,",7",5,"4,7",3,"4,7",,,0,"2,7",2,",7",27,",7",8,",7",1,",7",0,",7",0,",7,09,+",,,0,"2,,7,31,+",0.45,"4,,7,01,",72,",7,26,",5987,7,989,",7",2.07,"1,a,,7",0,"2,,,7",33.1,",7",45.4,",,,7",20.8,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-04,0,7,0,",7",12,",7",11,",7",,,,,0,",7",13,",7",0,",7",5,",7",0,",7",16,",7,04,",,,,,0.83,",,7,30,",76,",7,11,",6597,7,610,",7",3.08,",,,7",,,44.7,",7",55.7,",,,7",33.6,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-05,32,7,32,",7",9,",7",7,",7",,,,,0,",7",3,",7",0,",7",13,",7",0,",7",31,",7,13,",,,,,0.71,",,7,10,",88,",7,22,",6964,7,366,",7",3.29,",,,7",,,54.2,",7",66,",,,7",42.5,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-06,149,7,117,",7",,,,,0,",7",0,",7",0,",7",0,",7",0,",7",24,",7",2,",7",41,",7,17,",0,",,7,30,+",0,",,7,30,+",,,90,",7,29,+",7029,7,66,",7",7.86,",a,,7",0,",,,7",66.7,",7",78,",,,7",55.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-07,255,7,106,",7",16,",7",13,",7",,,,,0,",7",0,",7",0,",7",28,",7",0,",7",45,",7,31,+",,,,,2.22,",,7,19,",85,",7,16,",26,7,26,",7",11.14,",,,7",,,67.6,",7",76.6,",,,7",58.5,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-08,423,7,168,"2,7",,,,,0,",7",0,",7",0,"2,7",0,"2,7",0,"1,7",28,"1,7",0,"1,7",36,"2,7,05,",0,",,7,31,+",0,",,7,31,+",,,88,"1,7,27,",54,7,28,"1,7",6.26,"1,a,,7",0,",,,7",69.8,"2,7",79.8,"1,,,7",59.8,"2,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-09,438,7,14,",7",,,,,0,",7",0,",7",0,",7",0,",7",0,",7",23,",7",0,",7",40,",7,29,",0,",,7,30,+",0,",,7,30,+",,,77,",7,23,+",159,7,105,",7",3.83,",a,,7",0,",,,7",62,",7",71.8,",,,7",52.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-10,438,7,0,",7",,,,,,,,,0,",7",5,",7",0,",7",7,",7",0,",7",30,",7,25,+",,,,,,,75,",7,13,+",498,7,339,",7",8.35,"2,a,,7",,,54.1,",7",62.3,",,,7",45.8,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-11,438,7,0,",7",,,,,,,,,0,",7",23,",7",4,",7",0,",7",0,",7",15,",7,24,",,,,,,,59,",7,19,",1341,7,843,",7",3.98,",a,,7",,,36.9,",7",45.2,",,,7",28.6,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2021-12,438,7,0,",7",,,,,,,,,0,",7",29,",7",6,",7",0,",7",0,",7",9,",7,20,",,,,,,,61,",7,17,",2372,7,1031,",7",5.15,",a,,7",,,31.7,",7",39.4,",,,7",24.1,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-01,0,7,0,",7",9,",7",6,",7",,,3,"3,7",13,",7",31,",7",23,",7",0,",7",0,",7",-14,",7,31,+",,,8,"3,,7,10,",0.65,",,7,10,",44,",7,03,",3926,7,1553,",7",2.19,",,,7",11.5,"3,,,7",14.9,",7",26.4,",,,7",3.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-02,0,7,0,"1,7",,,,,,,,,6,",7",26,",7",12,"1,7",0,"1,7",0,"1,7",-8,",7,06,",,,,,,,53,"1,7,22,",5030,7,1105,"1,7",5.3,",a,,7",,,23.7,"1,7",34.7,"1,,,7",12.8,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-03,0,7,0,",7",11,",7",10,",7",,,,,2,",7",27,",7",7,",7",0,",7",0,",7",-8,",7,05,+",,,,,1.02,",,7,21,",68,",7,07,",6082,7,1052,",7",4.2,",,,7",,,31.1,",7",41.6,",,,7",20.5,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-04,0,7,0,"4,7",,,,,,,1,"5,7",0,",7",14,",7",0,"4,7",3,"4,7",0,"4,7",25,",7,19,+",,,8,"5,,7,19,",,,72,"4,7,26,+",6628,7,546,"4,7",6.22,"1,a,,7",8,"5,,,7",44,"4,7",53.8,"4,,,7",34.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-05,38,7,38,",7",11,",7",8,",7",0,",7",0,",7",0,",7",5,",7",0,",7",18,",7",0,",7",26,",7,01,",0,",,7,31,+",0,",,7,31,+",0.82,",,7,17,",89,",7,23,+",6861,7,233,",7",2.98,",,,7",0,",,,7",58.7,",7",71.4,",,,7",46.1,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-06,88,7,49,",7",,,,,0,",7",0,",7",0,",7",0,",7",0,",7",25,",7",0,",7",39,",7,06,+",0,",,7,30,+",0,",,7,30,+",,,88,",7,27,+",6960,7,99,",7",6.03,",a,,7",0,",,,7",63.4,",7",74.9,",,,7",51.8,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-07,246,7,158,",7",,,,,0,",7",0,",7",0,",7",0,",7",0,",7",31,",7",1,",7",47,",7,11,+",0,",,7,31,+",0,",,7,31,+",,,90,",7,21,",9,7,9,",7",4.43,",a,,7",0,",,,7",69.8,",7",81.3,",,,7",58.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-08,409,7,163,",7",,,,,0,",7",0,",7",0,",7",0,",7",0,",7",31,",7",0,",7",49,",7,15,+",0,",,7,31,+",0,",,7,31,+",,,88,",7,30,+",17,7,8,",7",5.83,",a,,7",0,",,,7",70,",7",80.3,",,,7",59.7,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-09,442,7,33,",7",,,,,0,",7",0,",7",0,",7",0,",7",0,",7",19,",7",0,",7",34,",7,26,+",0,",,7,30,+",0,",,7,30,+",,,81,",7,05,+",169,7,151,",7",5,",a,,7",0,",,,7",61,",7",70.9,",,,7",51.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-10,442,7,0,",7",,,,,,,,,0,",7",7,",7",0,",7",7,",7",0,",7",29,",7,28,",,,,,,,73,",7,27,",616,7,447,",7",1.61,",a,,7",,,50.6,",7",62,",,,7",39.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-11,444,7,2,"1,7",,,,,,,,,0,"1,7",16,"1,7",3,"1,7",3,"1,7",0,"1,7",18,"1,7,21,",,,,,,,75,"1,7,07,+",1303,7,687,"1,7",5.17,"1,a,,7",,,41.4,"1,7",50,"1,,,7",32.8,"1,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2022-12,444,7,0,",7",,,,,,,4,",7",0,",7",26,",7",12,",7",0,",7",0,",7",2,",7,24,",,,12.5,",,7,19,",,,51,",7,08,",2432,7,1129,",7",4.3,"2,a,,7",22,",,,7",28.6,",7",35.3,",,,7",21.8,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2023-01,0,7,0,",7",,,,,,,,,0,",7",26,",7",14,",7",0,",7",0,",7",9,",7,16,",,,,,,,48,",7,03,+",3544,7,1112,",7",4.99,",a,,7",,,29.1,",7",34.3,",,,7",24,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2023-02,0,7,0,"1,7",9,",7",6,",7",,,,,3,"1,7",25,"1,7",11,",7",0,",7",0,",7",-23,"1,7,04,",,,,,1.21,",,7,10,",61,",7,16,",4571,7,1028,",7",3.3,",,,7",,,27,"1,7",36.5,",,,7",17.5,"1,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2023-03,0,7,0,"1,7",,,,,,,,,0,"1,7",28,"1,7",1,",7",0,",7",0,",7",16,"1,7,12,+",,,,,,,53,",7,24,",5570,7,998,",7",3.6,",a,,7",,,31.9,"1,7",39.3,",,,7",24.5,"1,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2023-04,0,7,0,",7",,,,,,,,,0,",7",13,",7",0,",7",6,",7",0,",7",22,",7,03,+",,,,,,,83,",7,15,",6106,7,537,",7",4.64,"2,a,,7",,,47.1,",7",60,",,,7",34.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2023-05,3,7,3,",7",,,,,0,",7",0,",7",0,",7",10,",7",0,",7",10,",7",0,",7",20,",7,26,",0,",,7,31,+",0,",,7,31,+",,,82,",7,31,+",6528,7,422,",7",2.84,",a,,7",0,",,,7",51.5,",7",65.4,",,,7",37.6,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2023-06,60,7,56,",7",,,,,0,",7",0,",7",0,",7",0,",7",0,",7",19,",7",1,",7",37,",7,14,",0,",,7,30,+",0,",,7,30,+",,,90,",7,02,",6712,7,184,",7",4.96,",a,,7",0,",,,7",60.7,",7",72.2,",,,7",49.3,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2023-07,230,7,170,",7",,,,,0,",7",0,",7",0,",7",0,",7",0,",7",29,",7",1,",7",51,",7,30,",0,",,7,31,+",0,",,7,31,+",,,90,",7,07,",7,7,7,",7",6.28,",a,,7",0,",,,7",70.2,",7",80.3,",,,7",60.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2023-08,283,7,53,",7",,,,,0,",7",0,",7",0,",7",0,",7",0,",7",27,",7",0,",7",47,",7,03,",0,",,7,31,+",0,",,7,31,+",,,80,",7,17,",42,7,34,",7",9.74,",a,,7",0,",,,7",65.6,",7",74.9,",,,7",56.3,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2023-09,342,7,59,",7",,,,,0,",7",0,",7",0,",7",0,",7",0,",7",20,",7",0,",7",40,",7,28,+",0,",,7,30,+",0,",,7,30,+",,,88,",7,07,+",186,7,144,",7",2,"1,a,,7",0,",,,7",62.2,",7",72.8,",,,7",51.6,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2023-10,347,7,5,"1,7",,,,,,,,,0,"1,7",0,"1,7",0,"1,7",8,"1,7",0,"1,7",34,"1,7,24,+",,,,,,,86,"1,7,05,",507,7,321,"1,7",3.8,"3,a,,7",,,54.5,"1,7",63.3,"1,,,7",45.6,"1,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2023-11,347,7,0,",7",,,,,,,,,0,",7",22,",7",2,",7",0,",7",0,",7",15,",7,29,",,,,,,,60,",7,17,",1386,7,879,",7",3.5,",a,,7",,,35.7,",7",42.8,",,,7",28.6,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2023-12,347,7,0,"1,7",,,,,,,,,0,"1,7",23,"1,7",6,",7",0,",7",0,",7",14,"1,7,22,+",,,,,,,54,",7,29,",2283,7,898,",7",6.67,",a,,7",,,35.2,"1,7",41.1,",,,7",29.3,"1,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2024-01,0,,0,",7",13,",7",10,",7",,,,,1,",7",29,",7",15,",7",0,",7",0,",7",-2,",7,20,",,,,,1.18,",,7,26,",43,",7,26,+",3481,,1197,",7",5.55,",,,7",,,26.4,",7",31.3,",,,7",21.5,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2024-02,0,,0,",7",9,",7",6,",7",,,,,2,",7",24,",7",6,",7",0,",7",0,",7",-1,",7,21,+",,,,,0.54,",,7,29,",63,",7,28,",4483,,1002,",7",2.05,",,,7",,,30.5,",7",39.8,",,,7",21.1,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2024-03,0,,0,",7",,,,,,,,,0,",7",19,",7",1,",7",0,",7",0,",7",8,",7,25,+",,,,,,,66,",7,14,",5339,,856,",7",5.38,",a,,7",,,37.4,",7",45.7,",,,7",29,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2024-04,0,,0,",7",,,,,,,,,0,",7",13,",7",0,",7",1,",7",0,",7",24,",7,26,+",,,,,,,73,",7,10,",5910,,571,",7",4.43,",a,,7",,,45.9,",7",55.2,",,,7",36.7,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2024-05,35,,35,",7",,,,,,,,,0,",7",0,",7",0,",7",19,",7",0,",7",38,",7,13,+",,,,,,,88,",7,23,",6072,,162,",7",4.6,",a,,7",,,60.9,",7",71.7,",,,7",50.1,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2024-06,168,,132,",7",,,,,0,",7",0,",7",0,",7",0,",7",0,",7",23,",7",0,",7",44,",7,17,+",0,",,7,30,+",0,",,7,30,+",,,89,",7,20,+",6146,,74,",7",3.76,"3,a,,7",0,",,,7",66.9,",7",77,",,,7",56.9,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2024-07,362,,195,"4,H",10,"4,H",8,"4,H",,,,,0,"4,H",0,"4,H",0,"4,H",27,"4,H",0,"4,H",49,"4,H,02,",,,,,2.86,"4,,H,01,",89,"4,H,16,+",4,,4,"4,H",7.27,"4,,,H",,,72,"4,H",82.3,"4,,,H",61.8,"4,,,H"
